link_ppt	link_mbps	status	normalized_score_per_sender	normalized_score_raw	error
0.1000000000	1.0000	ok	-1.978246	-3.956493	
0.1073030941	1.0730	ok	-1.983161	-3.966322	
0.1151395399	1.1514	ok	-2.011888	-4.023776	
0.1235482888	1.2355	ok	-2.046474	-4.092947	
0.1325711366	1.3257	ok	-2.091239	-4.182478	
0.1422529313	1.4225	ok	-2.077351	-4.154702	
0.1526417967	1.5264	ok	-2.115471	-4.230943	
0.1637893707	1.6379	ok	-2.131230	-4.262459	
0.1757510625	1.7575	ok	-2.150599	-4.301199	
0.1885863279	1.8859	ok	-2.138412	-4.276824	
0.2023589648	2.0236	ok	-2.120698	-4.241395	
0.2171374303	2.1714	ok	-1.529149	-3.058297	
0.2329951811	2.3300	ok	-2.106741	-4.213481	
0.2500110383	2.5001	ok	-1.418850	-2.837699	
0.2682695795	2.6827	ok	-1.735482	-3.470963	
0.2878615592	2.8786	ok	-1.641283	-3.282566	
0.3088843596	3.0888	ok	-1.569553	-3.139106	
0.3314424749	3.3144	ok	-1.525366	-3.050732	
0.3556480306	3.5565	ok	-1.216285	-2.432570	
0.3816213408	3.8162	ok	-1.197476	-2.394952	
0.4094915062	4.0949	ok	-1.168787	-2.337573	
0.4393970561	4.3940	ok	-1.162630	-2.325261	
0.4714866363	4.7149	ok	-1.146265	-2.292530	
0.5059197488	5.0592	ok	-1.178573	-2.357145	
0.5428675439	5.4287	ok	-1.176299	-2.352598	
0.5825136712	5.8251	ok	-1.169706	-2.339412	
0.6250551925	6.2506	ok	-1.169336	-2.338672	
0.6707035611	6.7070	ok	-1.209044	-2.418089	
0.7196856730	7.1969	ok	-1.220972	-2.441944	
0.7722449946	7.7224	ok	-1.204116	-2.408232	
0.8286427729	8.2864	ok	-1.235934	-2.471869	
0.8891593339	8.8916	ok	-1.237527	-2.475053	
0.9540954763	9.5410	ok	-1.264567	-2.529135	
1.0237739663	10.2377	ok	-1.303898	-2.607797	
1.0985411420	10.9854	ok	-1.363491	-2.726982	
1.1787686348	11.7877	ok	-1.368797	-2.737595	
1.2648552169	12.6486	ok	-1.469721	-2.939442	
1.3572287830	13.5723	ok	-1.524469	-3.048938	
1.4563484775	14.5635	ok	-1.572633	-3.145266	
1.5627069765	15.6271	ok	-1.626001	-3.252002	
1.6768329368	16.7683	ok	-1.713162	-3.426323	
1.7992936233	17.9929	ok	-1.780007	-3.560015	
1.9306977289	19.3070	ok	-1.876049	-3.752097	
2.0716983999	20.7170	ok	-1.964140	-3.928281	
2.2229964825	22.2300	ok	-2.052248	-4.104496	
2.3853440064	23.8534	ok	-2.169185	-4.338370	
2.5595479227	25.5955	ok	-2.267537	-4.535074	
2.7464741148	27.4647	ok	-2.327445	-4.654890	
2.9470517026	29.4705	ok	-2.470636	-4.941272	
3.1622776602	31.6228	ok	-2.534899	-5.069798	
3.3932217719	33.9322	ok	-2.601697	-5.203394	
3.6410319493	36.4103	ok	-2.751774	-5.503549	
3.9069399371	39.0694	ok	-2.821370	-5.642740	
4.1922674352	41.9227	ok	-2.885724	-5.771448	
4.4984326690	44.9843	ok	-3.006844	-6.013688	
4.8269574377	48.2696	ok	-3.087146	-6.174293	
5.1794746792	51.7947	ok	-3.263151	-6.526301	
5.5577365865	55.5774	ok	-3.358647	-6.717294	
5.9636233166	59.6362	ok	-3.422794	-6.845588	
6.3991523363	63.9915	ok	-3.506638	-7.013275	
6.8664884500	68.6649	ok	-3.591311	-7.182622	
7.3679545597	73.6795	ok	-3.740268	-7.480536	
7.9060432109	79.0604	ok	-3.821138	-7.642275	
8.4834289824	84.8343	ok	-3.899453	-7.798905	
9.1029817799	91.0298	ok	-4.075633	-8.151267	
9.7677811009	97.6778	ok	-4.115984	-8.231968	
10.4811313415	104.8113	ok	-4.201960	-8.403921	
11.2465782212	112.4658	ok	-4.325960	-8.651919	
12.0679264064	120.6793	ok	-4.411372	-8.822744	
12.9492584221	129.4926	ok	-4.503592	-9.007184	
13.8949549437	138.9495	ok	-4.663227	-9.326454	
14.9097165718	149.0972	ok	-4.723014	-9.446028	
15.9985871961	159.9859	ok	-4.795761	-9.591523	
17.1669790661	171.6698	ok	-4.934728	-9.869455	
18.4206996933	184.2070	ok	-5.029211	-10.058421	
19.7659807170	197.6598	ok	-5.123616	-10.247232	
21.2095088792	212.0951	ok	-5.231936	-10.463872	
22.7584592607	227.5846	ok	-5.304714	-10.609428	
24.4205309455	244.2053	ok	-5.405550	-10.811099	
26.2039852886	262.0399	ok	-5.502618	-11.005237	
28.1176869797	281.1769	ok	-5.539039	-11.078079	
30.1711481053	301.7115	ok	-5.717989	-11.435978	
32.3745754282	323.7458	ok	-5.827535	-11.655071	
34.7389211208	347.3892	ok	-5.920589	-11.841178	
37.2759372031	372.7594	ok	-6.089323	-12.178646	
39.9982339561	399.9823	ok	-6.097329	-12.194657	
42.9193426013	429.1934	ok	-6.273366	-12.546732	
46.0537825582	460.5378	ok	-6.385049	-12.770098	
49.4171336132	494.1713	ok	-6.418385	-12.836770	
53.0261133591	530.2611	ok	-6.513204	-13.026408	
56.8986602902	568.9866	ok	-6.668522	-13.337044	
61.0540229659	610.5402	ok	-6.759048	-13.518097	
65.5128556860	655.1286	ok	-6.795319	-13.590639	
70.2973211533	702.9732	ok	-6.961126	-13.922252	
75.4312006335	754.3120	ok	-7.054248	-14.108496	
80.9400121608	809.4001	ok	-7.172217	-14.344434	
86.8511373751	868.5114	ok	-7.239729	-14.479458	
93.1939576234	931.9396	ok	-7.384788	-14.769576	
100.0000000000	1000.0000	ok	-7.447502	-14.895003	
